15.11.2016 22:54:54	157	156	94	1265	94	125	688	140	203	563	687	157	187	188	218	688	219	218	141	1734	219	234	797	141	187	672	750	125	110	109	922	187	79	109	594	109	609	125	157	765	141	359	79	93	78	62	63	47	94	62	78	94	78	125	78	78	78	110	94	62	63	94	78	63	63	78	62	79	78	94	94	78	94	125	94	78	78	62	78	63	94	78	78	62	78	360.465	
16.11.2016 16:11:05	156	110	125	687	141	125	578	188	171	641	125	484	454	125	109	484	203	141	125	734	110	187	594	125	172	734	500	94	109	110	703	156	31	79	656	78	203	281	172	797	109	188	63	94	125	78	78	62	62	94	78	94	63	94	79	109	93	94	110	79	78	63	63	94	78	78	94	62	78	78	94	79	94	94	63	94	78	62	94	109	94	110	94	63	47	282.349	
16.11.2016 16:21:05	125	78	78	594	140	110	562	125	141	828	63	703	109	109	157	750	109	125	63	859	109	188	500	62	141	484	469	109	79	93	563	140	32	93	672	78	360	140	94	563	78	172	78	78	78	78	94	79	94	94	78	78	78	109	62	94	79	62	93	63	94	78	78	94	62	78	125	78	63	78	94	93	94	94	79	109	79	63	79	109	79	78	78	62	78	258.721	
16.11.2016 16:23:05	157	62	78	500	344	125	562	172	203	1000	375	219	78	516	250	703	156	828	172	1266	156	188	562	188	203	562	438	62	110	109	766	187	203	188	734	94	547	156	234	1000	94	203	78	78	78	78	110	78	78	110	94	94	79	110	63	125	78	78	94	63	110	78	94	78	156	63	125	62	63	78	94	109	109	78	63	110	62	63	125	94	78	110	94	78	78	344.837	
16.11.2016 16:41:18	156	31	109	735	94	125	390	94	141	875	187	234	110	156	219	703	141	109	125	844	109	188	515	141	94	718	391	94	109	156	813	156	63	62	469	78	187	282	109	500	94	172	93	78	109	94	78	62	62	94	78	93	62	125	79	109	94	94	109	78	94	62	78	109	93	78	125	93	78	78	93	125	110	94	78	93	78	62	94	141	93	125	94	78	78	259.442	
16.11.2016 16:57:38	156	94	62	750	63	125	203	328	140	985	125	344	125	328	234	797	250	78	141	984	125	188	625	93	125	594	406	94	78	125	625	172	0	141	797	109	406	235	156	1172	187	219	109	94	62	78	78	78	78	172	78	94	78	109	78	125	93	94	94	78	63	78	78	94	78	78	110	78	78	78	109	125	94	94	78	109	78	62	94	94	93	94	93	63	62	303.395	
16.11.2016 17:06:45	156	47	125	719	125	109	641	156	187	594	94	312	110	406	141	734	156	110	125	1203	125	703	547	125	172	843	563	78	125	125	734	157	62	63	531	78	609	125	125	922	141	250	94	94	109	94	93	78	78	93	62	79	63	94	63	78	63	78	109	63	109	78	78	78	62	94	78	78	79	78	94	63	94	94	78	94	78	62	78	79	94	110	94	78	62	314.302	
16.11.2016 17:09:52	187	234	297	594	516	109	266	718	297	610	218	454	328	703	281	531	438	328	391	1359	281	250	375	391	672	359	484	266	141	343	407	172	265	281	547	407	156	609	328	469	422	297	78	78	79	63	78	62	94	62	63	63	62	79	78	62	78	78	63	78	62	46	78	78	63	78	78	62	78	79	63	78	63	78	78	78	63	63	78	62	78	63	78	62	62	391.698	
16.11.2016 20:46:11	469	171	844	516	125	62	688	94	609	547	406	172	516	187	141	640	547	828	313	672	375	656	453	672	500	266	375	156	140	344	531	157	78	109	875	125	625	110	218	797	156	438	140	109	110	78	94	109	110	94	93	78	78	94	62	109	63	78	94	110	125	62	93	78	94	78	125	62	46	78	187	125	78	79	62	78	63	47	94	78	78	63	94	79	109	390.977	
16.11.2016 20:46:39	125	78	110	828	140	125	532	125	187	875	172	281	63	172	125	1046	141	344	187	907	140	172	516	281	344	906	437	79	109	203	859	141	63	93	578	79	406	156	188	828	78	203	94	94	110	125	93	63	78	93	78	78	78	109	63	109	78	109	79	78	94	78	62	63	78	78	94	93	62	63	93	78	125	79	78	78	78	63	93	109	78	78	78	78	62	313.581	
16.11.2016 20:47:11	156	94	141	578	125	125	437	125	157	750	203	297	109	172	141	781	219	203	156	1125	109	172	453	125	141	453	344	156	63	109	297	140	79	62	656	94	313	171	110	594	125	171	110	94	94	78	78	62	62	94	94	109	62	125	62	109	78	125	94	78	93	78	62	94	78	78	94	78	63	78	78	78	109	78	79	78	109	63	109	93	94	109	78	62	79	258.372	
16.11.2016 20:47:43	125	62	110	390	297	110	296	204	140	781	219	219	94	172	109	922	140	204	93	1016	125	203	406	141	109	813	312	125	63	156	844	156	78	47	484	125	204	234	187	1032	109	188	62	78	94	78	110	63	78	94	78	125	47	110	47	125	78	109	94	63	93	78	78	78	63	78	125	94	62	94	94	109	125	78	94	78	109	63	94	93	94	125	93	63	78	277.256	
16.11.2016 22:04:26	391	375	250	297	344	250	281	406	281	297	266	312	235	328	297	640	344	344	406	719	312	375	375	360	390	563	437	375	297	344	766	281	281	406	328	282	312	297	375	406	313	281	78	78	62	109	94	78	93	109	94	110	78	94	94	93	78	109	78	94	78	94	94	78	94	94	78	78	78	94	94	78	78	78	78	63	78	79	78	94	94	109	94	78	63	355.395	
16.11.2016 22:05:19	171	204	218	688	140	47	235	187	625	563	297	140	172	422	453	359	204	250	203	843	125	579	109	453	172	562	329	140	78	297	360	171	188	187	454	93	297	203	313	359	188	234	93	110	78	78	94	79	94	78	94	63	78	46	78	78	78	63	79	93	78	62	63	79	171	141	94	62	79	93	156	125	78	93	110	94	79	78	110	125	94	78	94	78	63	287.791	
16.11.2016 22:05:45	125	47	109	609	79	109	187	297	141	687	204	312	94	109	110	734	219	172	140	1078	110	265	625	157	93	547	391	125	78	109	672	125	78	47	422	109	204	328	140	969	203	78	78	78	109	94	110	78	78	110	78	94	63	109	63	94	141	125	125	62	109	94	63	78	63	94	93	94	63	94	78	94	110	78	94	94	94	78	94	109	109	110	125	63	125	268.884	
